## RECSRecommendations Upload File ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.ib-display,entity.ib-pill,entity.ib-info-url,entity.ib-info-url-inelig,entity.ib-info-name,entity.ib-apply-url,entity.ib-apply-url-inelig,entity.ib-apply-name,entity.ib-message,entity.ib-img-url,entity.ib-eligibleclasslist,entity.basite-message,entity.basite-pageUrl,entity.basite-imgUrl,entity.basite-imgPath,entity.ccsite-message,entity.ccsite-cta,entity.ccsite-pageUrl,entity.ccsite-imgUrl,entity.ccsite-imgPath,entity.sitearea-display
ils-pl-topup,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,
bus-cc-blk,ANZ Business Black,,,,,,,,n,,,,,,,,,,,,,,,,,,,,
bus-cc-intfree,ANZ Business 55 Interest Free Days,,,,,,,,n,,,,,,,,,,,,,,,,,,,,
bus-cc-lowrt,ANZ Business Low Rate,,,,,,,,n,,,,,,,,,,,,,,,,,,,,
bus-cc-rewopt,ANZ Business Rewards Options,,,,,,,,n,,,,,,,,,,,,,,,,,,,,
bus-sav-ols,ANZ Business Online Saver,,,,,,,,n,,,,,,,,,,,,,,,,,,,,
bus-sav-td,ANZ Business Notice Term Deposit,,,,,https://www.anz.com.au/business/products/accounts/savings-accounts/business-term-deposit/,,,n,,https://www.anz.com.au/business/products/accounts/savings-accounts/business-term-deposit/?pid=sbb-ibb-td-ib-09-19-acq-busnoticetermdeposit,,Learn more,https://www.anz.com.au/business/accounts/savings-accounts/business-term-deposit/enquiry/,,Enquire now,"Invest from $5,000 in a term of your choice, with the security of guaranteed returns.",https://aemconlive1-anzcomv2-vcade-nonprod-501-public.m1.nonprod.w50v35m6fl.com/content/dam/ib/images/ib-online-saver-featured.jpg,,,,,,,,,,,
bus-tx-busadv,ANZ Business Advantage,,,,,,,,n,,,,,,,,,,,,,,,,,,,,
bus-tx-busext,ANZ Business Extra,,,,,,,,n,,,,,,,,,,,,,,,,,,,,
bus-tx-busess,ANZ Business Essentials,,,,,https://www.anz.com.au/business/accounts/transaction-accounts/business-essentials/,,,y,NEW PRODUCT,https://www.anz.com.au/business/accounts/transaction-accounts/business-essentials/?pid=sbb-ibrec-t-ibpao-07-21-acq-anzbusesslearnm,,Learn more,&,,&,A straightforward business account with all the essential features and no monthly service fee.,https://www.anz.com.au/content/dam/anzcomau/images/business/internet-banking/ib-xf-images/bo-business-essentials-ib-promo-tile-bottom.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
